30/07 01:20:10.5  INFO   12540 Application.cpp[130]         MonaTiny v1.265
30/07 01:20:10.6  NOTE   9692 Protocols.h[132]              RTMFP server started on 0.0.0.0:1935 (UDP)
30/07 01:20:10.6  NOTE   9692 Protocols.h[132]              RTMP server started on 0.0.0.0:1935 (TCP)
30/07 01:20:10.6  NOTE   9692 Protocols.h[132]              HTTP server started on 0.0.0.0:80 (TCP)
30/07 01:20:10.6  NOTE   9692 Protocols.h[132]              WS server started on 0.0.0.0:80 (TCP)
30/07 01:20:10.6  NOTE   9692 Protocols.h[132]              HTTPS server started on 0.0.0.0:443 (TCP)
30/07 01:20:10.6  NOTE   9692 Protocols.h[132]              WSS server started on 0.0.0.0:443 (TCP)
30/07 01:21:08.2  INFO   13008 Application.cpp[130]         MonaTiny v1.265
30/07 01:21:08.3  NOTE   14216 Protocols.h[132]             RTMFP server started on 0.0.0.0:1935 (UDP)
30/07 01:21:08.3  NOTE   14216 Protocols.h[132]             RTMP server started on 0.0.0.0:1935 (TCP)
30/07 01:21:08.3  NOTE   14216 Protocols.h[132]             HTTP server started on 0.0.0.0:80 (TCP)
30/07 01:21:08.3  NOTE   14216 Protocols.h[132]             WS server started on 0.0.0.0:80 (TCP)
30/07 01:21:08.3  NOTE   14216 Protocols.h[132]             HTTPS server started on 0.0.0.0:443 (TCP)
30/07 01:21:08.3  NOTE   14216 Protocols.h[132]             WSS server started on 0.0.0.0:443 (TCP)
30/07 01:22:26.7  ERROR  14216 FlashMainStream.cpp[149]     Method client releaseStream not found in application /live
30/07 01:22:26.7  ERROR  14216 FlashMainStream.cpp[149]     Method client FCPublish not found in application /live
30/07 01:22:26.7  NOTE   14216 MonaTiny.cpp[157]            Client publish stream
30/07 01:22:26.7  INFO   14216 Publication.cpp[105]         Publication stream started
30/07 01:22:26.7  INFO   14216 Publication.cpp[378]         Write stream publication properties {1.2.1: false, 1.3.1: false, 1.4.0: false, 1.4.1: false, 1.5.1: false, 1.7.1: false, 1.audiochannels: 2, 1.audiocodecid: mp4a, 1.audiodatarate: 160, 1.audiosamplerate: 44100, 1.audiosamplesize: 16, 1.duration: 0, 1.encoder: obs-output module (libobs version 25.0.8), 1.fileSize: 0, 1.framerate: 60, 1.height: 720, 1.stereo: true, 1.videocodecid: avc1, 1.videodatarate: 6000, 1.width: 1280}
30/07 01:22:28.3  INFO   14216 Server.cpp[124]              1 clients
30/07 01:23:57.1  ERROR  14216 FlashMainStream.cpp[149]     Method client getStreamLength not found in application /live
30/07 01:23:57.1  INFO   14216 MonaTiny.cpp[178]            RTMP 127.0.0.1:53660 subscribe to stream
30/07 01:23:57.1  INFO   14216 FlashStream.cpp[130]         setBufferTime 3000ms on stream stream
30/07 01:23:57.1  INFO   14216 Subscription.cpp[321]        Properties sent to one stream subscription
30/07 01:23:58.3  INFO   14216 Server.cpp[124]              2 clients
30/07 01:24:24.1  WARN   14216 TCPSession.cpp[32]           RTMP session 2, Connection aborted
30/07 01:24:24.1  INFO   14216 MonaTiny.cpp[191]            RTMP 127.0.0.1:53660 unsubscribe to stream
30/07 01:24:24.3  INFO   14216 Server.cpp[124]              1 clients
30/07 01:41:42.8  ERROR  14216 FlashMainStream.cpp[149]     Method client getStreamLength not found in application /live
30/07 01:41:42.8  INFO   14216 MonaTiny.cpp[178]            RTMP 127.0.0.1:53886 subscribe to stream
30/07 01:41:42.8  INFO   14216 FlashStream.cpp[130]         setBufferTime 3000ms on stream stream
30/07 01:41:42.8  INFO   14216 Subscription.cpp[321]        Properties sent to one stream subscription
30/07 01:41:44.3  INFO   14216 Server.cpp[124]              2 clients
30/07 01:41:58.1  WARN   14216 TCPSession.cpp[32]           RTMP session 2, Connection aborted
30/07 01:41:58.1  INFO   14216 MonaTiny.cpp[191]            RTMP 127.0.0.1:53886 unsubscribe to stream
30/07 01:41:58.3  INFO   14216 Server.cpp[124]              1 clients
30/07 01:55:14.8  ERROR  14216 FlashMainStream.cpp[149]     Method client FCUnpublish not found in application /live
30/07 01:55:14.8  INFO   14216 Publication.cpp[160]         Publication stream stopped
30/07 01:55:14.8  NOTE   14216 MonaTiny.cpp[168]            Client unpublish stream
30/07 01:55:14.8  WARN   13356 RTMP/RTMPSender.cpp[114]     Connection aborted (address=127.0.0.1:53637, size=152, flags=0)
30/07 01:55:14.8  INFO   14216 Session.cpp[123]             RTMP session 1 timeout connection
30/07 01:55:14.8  WARN   13356 RTMP/RTMPSender.cpp[114]     Connection aborted (address=127.0.0.1:53637, size=123, flags=0)
30/07 01:55:14.8  INFO   14216 Server.cpp[124]              0 clients
30/07 01:55:14.8  WARN   14216 TCPSession.cpp[32]           RTMP session 1, Connection aborted
30/07 01:55:14.8  WARN   14216 TCPSession.cpp[32]           RTMP session 2, Connection aborted
30/07 01:55:14.8  WARN   14216 TCPSession.cpp[32]           RTMP session 3, Connection aborted
30/07 01:55:14.8  ERROR  7476 RTMP/RTMPDecoder.cpp[148]     RTMP Handshake, Connection aborted (address=127.0.0.1:53985, size=3073, flags=0)
30/07 01:55:14.8  WARN   14216 TCPSession.cpp[32]           RTMP session 4, Connection aborted (from=0.0.0.0:0, size=2048, flags=0)
30/07 01:55:14.8  ERROR  11100 RTMP/RTMPDecoder.cpp[148]    RTMP Handshake, Connection aborted (address=127.0.0.1:53993, size=3073, flags=0)
30/07 01:55:14.8  WARN   14216 TCPSession.cpp[32]           RTMP session 6, Connection aborted (from=0.0.0.0:0, size=2048, flags=0)
30/07 01:55:14.8  WARN   14216 TCPSession.cpp[32]           RTMP session 5, Connection aborted (from=0.0.0.0:0, size=2048, flags=0)
30/07 01:55:14.8  WARN   14216 TCPSession.cpp[32]           RTMP session 7, Connection aborted
30/07 01:56:15.0  ERROR  14216 FlashMainStream.cpp[149]     Method client getStreamLength not found in application /live
30/07 01:56:15.0  INFO   14216 MonaTiny.cpp[178]            RTMP 127.0.0.1:54061 subscribe to stream
30/07 01:56:15.0  INFO   14216 FlashStream.cpp[130]         setBufferTime 3000ms on stream stream
30/07 01:56:16.8  INFO   14216 Server.cpp[124]              1 clients
30/07 01:56:31.8  ERROR  14216 FlashMainStream.cpp[149]     Method client releaseStream not found in application /live
30/07 01:56:31.8  ERROR  14216 FlashMainStream.cpp[149]     Method client FCPublish not found in application /live
30/07 01:56:31.8  NOTE   14216 MonaTiny.cpp[157]            Client publish stream
30/07 01:56:31.8  INFO   14216 Publication.cpp[105]         Publication stream started
30/07 01:56:31.8  INFO   14216 Publication.cpp[378]         Write stream publication properties {1.2.1: false, 1.3.1: false, 1.4.0: false, 1.4.1: false, 1.5.1: false, 1.7.1: false, 1.audiochannels: 2, 1.audiocodecid: mp4a, 1.audiodatarate: 160, 1.audiosamplerate: 44100, 1.audiosamplesize: 16, 1.duration: 0, 1.encoder: obs-output module (libobs version 25.0.8), 1.fileSize: 0, 1.framerate: 60, 1.height: 720, 1.stereo: true, 1.videocodecid: avc1, 1.videodatarate: 6000, 1.width: 1280}
30/07 01:56:31.8  INFO   14216 Subscription.cpp[321]        Properties sent to one stream subscription
30/07 01:56:32.8  INFO   14216 Server.cpp[124]              2 clients
30/07 01:56:59.0  ERROR  14216 FlashMainStream.cpp[149]     Method client FCUnpublish not found in application /live
30/07 01:56:59.0  INFO   14216 Publication.cpp[160]         Publication stream stopped
30/07 01:56:59.0  NOTE   14216 MonaTiny.cpp[168]            Client unpublish stream
30/07 01:56:59.0  INFO   14216 MonaTiny.cpp[191]            RTMP 127.0.0.1:54061 unsubscribe to stream
30/07 01:57:00.8  INFO   14216 Server.cpp[124]              0 clients
30/07 01:59:12.0  ERROR  14216 FlashMainStream.cpp[149]     Method client getStreamLength not found in application /live
30/07 01:59:12.0  INFO   14216 MonaTiny.cpp[178]            RTMP 127.0.0.1:54097 subscribe to stream
30/07 01:59:12.0  INFO   14216 FlashStream.cpp[130]         setBufferTime 3000ms on stream stream
30/07 01:59:12.9  INFO   14216 Server.cpp[124]              1 clients
30/07 01:59:24.5  ERROR  14216 FlashMainStream.cpp[149]     Method client releaseStream not found in application /live
30/07 01:59:24.5  ERROR  14216 FlashMainStream.cpp[149]     Method client FCPublish not found in application /live
30/07 01:59:24.5  NOTE   14216 MonaTiny.cpp[157]            Client publish stream
30/07 01:59:24.5  INFO   14216 Publication.cpp[105]         Publication stream started
30/07 01:59:24.5  INFO   14216 Publication.cpp[378]         Write stream publication properties {1.2.1: false, 1.3.1: false, 1.4.0: false, 1.4.1: false, 1.5.1: false, 1.7.1: false, 1.audiochannels: 2, 1.audiocodecid: mp4a, 1.audiodatarate: 160, 1.audiosamplerate: 44100, 1.audiosamplesize: 16, 1.duration: 0, 1.encoder: obs-output module (libobs version 25.0.8), 1.fileSize: 0, 1.framerate: 60, 1.height: 720, 1.stereo: true, 1.videocodecid: avc1, 1.videodatarate: 6000, 1.width: 1280}
30/07 01:59:24.5  INFO   14216 Subscription.cpp[321]        Properties sent to one stream subscription
30/07 01:59:24.9  INFO   14216 Server.cpp[124]              2 clients
30/07 02:00:06.2  ERROR  14216 FlashMainStream.cpp[149]     Method client FCUnpublish not found in application /live
30/07 02:00:06.2  INFO   14216 Publication.cpp[160]         Publication stream stopped
30/07 02:00:06.2  NOTE   14216 MonaTiny.cpp[168]            Client unpublish stream
30/07 02:00:06.9  INFO   14216 Server.cpp[124]              1 clients
30/07 02:00:17.7  WARN   14216 TCPSession.cpp[32]           RTMP session 1, Connection reseted (from=0.0.0.0:0, size=2048, flags=0)
